Gender,FavSeason,WritingHand,Year,College,Domestic,FromMinnesota,OnCampus,Shower,Movie,Hair,FavSocialMedia,HoursSpentOnSocialMedia,HoursExercise,HoursClasses,SleepWeekday,SleepWeekend,LegalizingMarijuana,HighSchoolGPA,CollegeGPA,Tattoos,TrafficTickets,TextWhileDriving,Chocholate
Female,Summer,Right,Sophomore,CBS,U.S.,Yes,No,Evening,None,20,TikTok,5,1,5,7,9,Yes,3.99,3.9,0,0,No,48
Male,Summer,Right,Junior,CBS,U.S.,No,No,Depends,1,0,TikTok,2,2,2,7,8,Yes,3.7,3.3,1,1,No,49
Male,Winter,Right,Freshman,CBS,U.S.,Yes,No,Depends,None,50,YouTube,2,3.5,7,7,8,Not sure,3.7,0,0,0,No,49
Female,Fall,Left,Senior,CBS,U.S.,No,No,Morning,1,200,Instagram,3,1,6,8,8,Yes,3.95,3.3,0,0,No,49
Female,Fall,Right,Senior,CBS,U.S.,No,No,Evening,1,30,Others,1,0,6,7,7,Not sure,4,3.6,0,0,No,50
Female,Summer,Right,Junior,CBS,U.S.,Yes,Yes,Morning,1,0,TikTok,2,1,3,6,6,Yes,3.8,3.6,1,0,Yes,50
Female,Spring,Right,Freshman,CBS,U.S.,No,Yes,Morning,1,40,TikTok,2,1,5,8,10,Yes,4,0,0,0,No,50
Male,Spring,Right,Sophomore,CBS,U.S.,Yes,Yes,Depends,1,25,Instagram,3,2,8,7,9,Yes,3.93,3.53,2,0,No,50
Female,Fall,Left,Sophomore,CBS,U.S.,Yes,No,Depends,None,160,TikTok,4,1,6,7,7,Yes,3.7,3.7,1,1,No,50
Male,Fall,Right,Freshman,CBS,U.S.,No,Yes,Evening,2,15,TikTok,5,2,4,8,8,Yes,4,0,0,1,Yes,50
Female,Winter,Right,Freshman,CBS,U.S.,Yes,Yes,Evening,None,50,YouTube,5,1,5,8,9,Yes,3.8,0,0,0,No,50
Male,Summer,Right,Freshman,CBS,U.S.,Yes,Yes,Depends,None,20,TikTok,1.5,2,4,8,9,Yes,3.8,0,0,0,No,51
Female,Spring,Right,Freshman,CBS,U.S.,Yes,Yes,Evening,1,50,YouTube,2,1,2,7,9,Yes,4,4,0,0,No,51
Female,Summer,Right,Freshman,CBS,U.S.,Yes,Yes,Morning,1,50,Instagram,2,1,3,6,10,No,3.9,0,0,0,No,52
Female,Fall,Right,Freshman,CBS,U.S.,No,Yes,Morning,1,50,TikTok,3,1,3,7,8,Yes,4,0,0,0,No,52
Female,Fall,Right,Freshman,CBS,U.S.,Yes,Yes,Morning,None,25,YouTube,2,1,6,7,9,No,3.9,4,0,0,No,53
Female,Fall,Right,Freshman,CBS,U.S.,Yes,Yes,Evening,None,0,YouTube,4,2,5,7,8,Not sure,3.9,0,0,0,No,53
Female,Fall,Right,Freshman,CBS,U.S.,Yes,Yes,Evening,None,60,YouTube,4,4,8,6,10,Not sure,3.998,4,0,0,No,53
Female,Fall,Right,Freshman,CBS,U.S.,Yes,Yes,Evening,None,45,TikTok,1,1,4,8,12,Not sure,4,0,0,0,No,54
Female,Summer,Right,Sophomore,CBS,U.S.,No,Yes,Evening,1,120,Instagram,3,2,5,7,5,Not sure,4,3.2,0,0,No,54
Male,Fall,Right,Junior,CBS,U.S.,No,No,Morning,1,25,Instagram,3,2,5,7,10,Yes,4,3.9,2,2,Yes,55
Male,Summer,Right,Junior,CBS,U.S.,No,Yes,Depends,1,45,Instagram,3,2,3,7,9,Yes,3.5,3.2,0,1,Yes,55
Male,Winter,Right,Freshman,CBS,U.S.,Yes,Yes,Morning,2,30,Instagram,4,1,8,8,7,No,3.887,0,0,0,No,55
Female,Summer,Right,Freshman,CBS,U.S.,No,Yes,Morning,1,0,Others,3,1,3,7,8,No,4,0,1,0,No,57
Male,Spring,Right,Sophomore,CBS,U.S.,Yes,No,Morning,None,50,YouTube,1.5,2,4,8,10,Not sure,3.92,3.35,0,0,No,58
Female,Winter,Right,Junior,CBS,U.S.,Yes,Yes,Depends,None,150,TikTok,2,2,5,9,10,Yes,3.7,3,0,1,No,58
Female,Summer,Right,Junior,CBS,U.S.,No,Yes,Evening,None,20,TikTok,5,1,5,8,8,Yes,4,3.8,0,0,No,59
Female,Fall,Right,Freshman,CBS,U.S.,Yes,Yes,Depends,1,40,TikTok,1,1,4,7,7,Yes,3.9,0,0,0,No,60
Female,Summer,Right,Sophomore,CBS,U.S.,Yes,Yes,Evening,1,35,Instagram,2,0,5,6,9,Yes,4,3.67,0,-1,No,60
Female,Summer,Left,Freshman,CBS,U.S.,Yes,Yes,Evening,None,45,Instagram,3,1,3,7,10,Not sure,3.87,0,0,0,No,60
Female,Summer,Left,Junior,CBS,U.S.,Yes,Yes,Depends,2,75,TikTok,3,2,10,6,7,Not sure,4,3.75,0,0,No,60
Female,Fall,Right,Freshman,CBS,U.S.,Yes,Yes,Evening,4 or more,110,TikTok,3,1,5,7,7,Not sure,4,0,0,0,No,60
Male,Winter,Right,Freshman,CBS,U.S.,Yes,Yes,Evening,1,0,YouTube,4,1,4,8,7,Not sure,3.9,0,0,-1,No,62
Other/Prefer not to answer,Summer,Right,Senior,CBS,U.S.,No,No,Morning,None,60,TikTok,3,1,4,9,9,Yes,4,3.6,7,0,No,64
Female,Spring,Right,Freshman,CBS,U.S.,Yes,Yes,Depends,None,210,YouTube,3,0.5,5,8,8,Not sure,4,3.8,0,1,No,64
Female,Spring,Right,Freshman,CBS,U.S.,Yes,Yes,Evening,None,45,TikTok,4,2,3,8,10,Yes,4,0,0,0,No,64
Female,Fall,Right,Junior,CBS,International,No,Yes,Depends,None,9,Instagram,2,1,5,6,8,Yes,3.5,3.8,0,-1,No,65
Female,Fall,Right,Sophomore,CBS,U.S.,Yes,Yes,Depends,None,170,Instagram,3,1,5,8,7,Yes,3.9,3.6,0,0,No,65
Male,Spring,Right,Freshman,CBS,U.S.,Yes,Yes,Evening,None,30,YouTube,7,0,12,6,8,Not sure,3.72,2.96,0,-1,No,65
Other/Prefer not to answer,Fall,Right,Sophomore,CBS,U.S.,Yes,Yes,Depends,None,40,TikTok,2,1,7,7,9,Yes,3.6,2.5,0,0,No,66
Other/Prefer not to answer,Summer,Right,Junior,CBS,U.S.,Yes,No,Evening,None,35,Instagram,1,2.5,4,5,6,Yes,3.89,3.02,4,0,No,67
Female,Winter,Right,Sophomore,CBS,U.S.,Yes,No,Evening,1,30,TikTok,3,2,3,8,9,No,4,3.67,0,0,Yes,67
Female,Spring,Right,Freshman,CBS,U.S.,Yes,Yes,Depends,None,0,YouTube,2,0,5,9,11,Yes,3.91,0,0,0,No,69
Female,Fall,Right,Senior,CBS,U.S.,Yes,No,Depends,1,50,TikTok,5,2,4,7,8,Yes,4,3.78,1,0,No,69
Female,Fall,Right,Sophomore,CBS,U.S.,No,Yes,Evening,2,40,TikTok,3,1,3,8,9,Yes,4,3.5,2,0,Yes,70
Female,Summer,Right,Senior,CBS,U.S.,Yes,Yes,Depends,None,130,Instagram,2,2,8,5,8,Yes,4,3.2,0,0,Yes,72
Female,Spring,Right,Freshman,CBS,U.S.,Yes,Yes,Evening,3,45,TikTok,3,2,3,7,10,Yes,4,0,0,0,Yes,72
Female,Spring,Right,Freshman,CBS,U.S.,Yes,Yes,Evening,3,45,TikTok,3,2,3,6,10,Yes,4,0,0,0,No,72
Female,Fall,Right,Freshman,CBS,U.S.,Yes,Yes,Depends,None,130,Instagram,1,2,4,7,8,No,3.9,0,0,0,No,75
Male,Summer,Right,Sophomore,CBS,U.S.,Yes,No,Morning,2,13,Others,2,1,5,9,8,Yes,3.94,4,0,0,Yes,75
Female,Summer,Left,Freshman,CBS,U.S.,No,Yes,Depends,1,120,Instagram,2,1.5,6,7,9,Not sure,3.99,0,0,0,No,75
